iter	RMSE
546	0.9515536401
547	0.950928464
548	0.9493313647
549	0.9480618066
550	0.9472797248
551	0.946136646
552	0.9459604161
553	0.9458310472
554	0.9456725059
555	0.9451801379
556	0.9449116056
557	0.9441409995
558	0.943886607
559	0.9436660306
560	0.9434462062
561	0.9433210161
562	0.9428967955
563	0.9424879093
564	0.9419039138
565	0.9415165223
566	0.9413311479
567	0.9408538871
568	0.9407756086
569	0.9406227761
570	0.9399311496
571	0.9398097025
572	0.9395997875
573	0.9393992358
574	0.9392453596
575	0.9390513516
576	0.9388669143
577	0.9378101159
578	0.9361382096
579	0.9345309392
580	0.9343831868
581	0.9341479406
582	0.9340764451
583	0.9329850014
584	0.9325943351
585	0.9323859051
586	0.9322412274
587	0.9305434309
588	0.9297874881
589	0.9296680498
590	0.9292911926
591	0.9282857922
592	0.9281203081
593	0.9280749708
594	0.926993425
595	0.9253014931
596	0.924198466
597	0.9234097237
598	0.9232935353
599	0.9231807785
600	0.9230720542
601	0.9221436756
602	0.9217263389
603	0.9215237005
604	0.9213529417
605	0.9209978726
606	0.9208064947
607	0.9207013101
608	0.920440605
609	0.9200976537
610	0.919926169
611	0.9197411144
612	0.9194040579
613	0.9190836997
614	0.9187742991
615	0.9185871121
616	0.9178733911
617	0.9173337623
618	0.9167890203
619	0.9166071671
620	0.9157859584
621	0.9154720218
622	0.9151811099
623	0.9148999808
624	0.9145572867
625	0.9143846228
626	0.9141128325
627	0.9139478794
628	0.9133761882
629	0.9128997647
630	0.9121774391
631	0.9107375658
632	0.9104729769
633	0.9093898452
634	0.9092337218
635	0.9090366042
636	0.9088516738
637	0.9087476043
638	0.9084002281
639	0.9080863262
640	0.9079036908
641	0.9076768059
642	0.9074284542
643	0.906987421
644	0.9068836189
645	0.9066796343
646	0.9064393523
647	0.9059465195
648	0.9057921036
649	0.9055664143
650	0.9053921516
651	0.9052915442
652	0.9051942375
653	0.904523084
654	0.9035828686
655	0.9034432896
656	0.9031970049
657	0.9031026184
658	0.9029450306
659	0.9026623092
660	0.9025255425
661	0.9023904082
662	0.9021518921
663	0.9019379137
664	0.9018518924
665	0.9017210076
666	0.9016526427
667	0.9014212399
668	0.9010100318
669	0.9003851641
670	0.9002595721
671	0.900132739
672	0.8999966572
673	0.899849627
674	0.8992906575
675	0.8980380928
676	0.8969015836
677	0.8959895623
678	0.8958662867
679	0.8957734791
680	0.8956427457
681	0.8954711199
682	0.8953603354
683	0.8948668634
684	0.8947793217
685	0.894694694
686	0.8945214836
687	0.8943745934
688	0.8933483917
689	0.8931509601
690	0.8929430168
691	0.8925440658
692	0.8924463356
693	0.8919904574
694	0.891911406
695	0.8917855644
696	0.8914899709
697	0.8913694404
698	0.8904272211
699	0.8891648649
700	0.8890387305
701	0.8886256584
702	0.8885331442
703	0.8880401407
704	0.8879236049
705	0.8878341653
706	0.887557726
707	0.8874413356
708	0.8872924828
709	0.8860712895
710	0.8855124695
711	0.8852480775
712	0.8850052517
713	0.8848923157
714	0.8844219825
715	0.8841967052
716	0.8841098883
717	0.8840489247
718	0.8828669793
719	0.8826315179
720	0.8825478661
721	0.8820403727
722	0.8817850206
723	0.8806063034
724	0.8803607513
725	0.8792168391
726	0.8768243802
727	0.874836779
728	0.8746191027
729	0.8742918388
730	0.8738477694
731	0.873551295
732	0.8733219969
733	0.8732112401
734	0.8730671966
735	0.8729249885
736	0.8727548062
737	0.8725987724
738	0.8725036462
739	0.8722677206
740	0.8720972634
741	0.872024165
742	0.8712232829
743	0.8693727984
744	0.8692386109
745	0.8691242781
746	0.868998385
747	0.8689154331
748	0.8687874006
749	0.8687072196
750	0.8684809914
751	0.868403492
752	0.8682779277
753	0.8680711267
754	0.867679998
755	0.8675600819
756	0.8663778112
757	0.8661329201
758	0.8660149873
759	0.8649480792
760	0.8647220988
761	0.8645678115
762	0.8644596285
763	0.8627757624
764	0.8625953704
765	0.8624816383
766	0.8621949503
767	0.8604858625
768	0.8603772259
769	0.8601913841
770	0.8600435527
771	0.859936675
772	0.8588266472
773	0.8587074992
774	0.85863234
775	0.8584491806
776	0.8581928006
777	0.8580687002
778	0.8578878865
779	0.8576088523
780	0.8573310658
781	0.8571462495
782	0.8564093164
783	0.8559026509
784	0.8556385606
785	0.8546337122
786	0.8545660963
787	0.8541206183
788	0.8539420084
789	0.8529229638
790	0.8522649569
791	0.852198752
792	0.852116021
793	0.8520316003
794	0.8518028718
795	0.8504953094
796	0.8503910296
797	0.8502741295
798	0.8501946303
799	0.8500484364
800	0.8498688552
801	0.8486549581
802	0.8475162346
803	0.8474178873
804	0.8472043195
805	0.8470976577
806	0.8460156976
807	0.845364443
808	0.8442948452
809	0.8440918112
810	0.8437830644
811	0.8436794043
812	0.843617026
813	0.8435014957
814	0.8433758695
815	0.843241477
816	0.8431742165
817	0.8430993269
818	0.8430253062
819	0.842385517
820	0.8422693856
821	0.8419212064
822	0.841816331
823	0.8417445948
824	0.8416318798
825	0.8415363559
826	0.8413125023
827	0.8409861757
828	0.8409051102
829	0.8407833367
830	0.8405677274
831	0.8403952931
832	0.8403448632
833	0.8393619201
834	0.8390655514
835	0.8389635124
836	0.8373549995
837	0.8372540019
838	0.8372149525
839	0.8369968267
840	0.836042343
841	0.8359444734
842	0.8357122542
843	0.8356430234
844	0.8354449722
845	0.8350967018
846	0.8342593453
847	0.8341678413
848	0.8338878454
849	0.8336828871
850	0.8322109877
851	0.8319095301
852	0.8318143217
853	0.8311100885
854	0.8309998225
855	0.8309076546
856	0.8308429951
857	0.8304843145
858	0.8304350351
859	0.8303675427
860	0.8300970082
861	0.8300031011
862	0.8299445652
863	0.8298818626
864	0.8288527891
865	0.8284500137
866	0.8283846642
867	0.8281191353
868	0.8279394704
869	0.8270551054
870	0.8268450516
871	0.8264695391
872	0.8264250444
873	0.8258419533
874	0.8256924658
875	0.8248878596
876	0.8248243513
877	0.8239918459
878	0.8238746814
879	0.8237798639
880	0.8236898907
881	0.8234913249
882	0.8234297687
883	0.8232735764
884	0.8229606669
885	0.822904638
886	0.8227732034
887	0.8226092721
888	0.8225221209
889	0.8224427963
890	0.8222954789
891	0.8221519996
892	0.8220632426
893	0.8217905662
894	0.8209717707
895	0.8207206999
896	0.8197046832
897	0.8193171453
898	0.8192705948
899	0.8184860309
900	0.8183778503
901	0.8182889535
902	0.8175295555
903	0.8174446205
904	0.8167634318
905	0.81450146
906	0.8142139616
907	0.8140940225
908	0.8140159854
909	0.8139449521
910	0.8137258749
911	0.8136848492
912	0.8135859241
913	0.8133955228
914	0.8126001288
915	0.8124943219
916	0.8123074521
917	0.812193033
918	0.8100304196
919	0.8098813307
920	0.8097223589
921	0.809344098
922	0.8092836126
923	0.8091091171
924	0.8090527203
925	0.8088588972
926	0.8088188614
927	0.8086939206
928	0.8085872302
929	0.8079387575
930	0.8077696523
931	0.8074935861
932	0.807416506
933	0.8070795339
934	0.8069434179
935	0.8068915452
936	0.8062826819
937	0.8059964887
938	0.8039418817
939	0.803814982
940	0.8036362226
941	0.8034636367
942	0.8032878456
943	0.8020257179
944	0.8016407377
945	0.801421124
946	0.801367933
947	0.8007763733
948	0.8007435694
949	0.8006155355
950	0.8005609278
951	0.8003972177
952	0.8002164355
953	0.8001929247
954	0.8000485958
955	0.7997923524
956	0.7995237146
957	0.799331095
958	0.7974244309
959	0.7972840602
960	0.7970355028
961	0.7969677872
962	0.7967403973
963	0.7967181495
964	0.7966697055
965	0.7964997952
966	0.7963837102
967	0.7957089131
968	0.7950570001
969	0.7950000828
970	0.7948486661
971	0.7947981626
972	0.7947222685
973	0.7945017374
974	0.7943298104
975	0.7940266396
976	0.7939071284
977	0.7938059632
978	0.7931912814
979	0.792988384
980	0.7928406825
981	0.792663811
982	0.7926092126
983	0.7924288991
984	0.7923787961
985	0.7922976269
986	0.792268152
987	0.7918685095
988	0.7915222121
989	0.7914447116
990	0.7912768976
991	0.7911438581
992	0.790983235
993	0.7908318082
994	0.7906769163
995	0.7905300934
996	0.7904251784
997	0.7903749286
998	0.7899675551
999	0.7899468639
