,Title,Year,certificate,Time,genre,star_rating,Content,votes,Text,boxoffice,Directors,Stars,MetaScore,gross_box_office
43,101 Dalmatians,1996,U,103,"Adventure, Comedy, Crime",5.7,"    An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.","100,667",                        1h 43mi,"$320,689,294",Stephen Herek                 ,"Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright    ",49.0,136.19
44,The Even Stevens Movie,2003 TV Movie,,93,"Comedy, Family",6.2,"    The Stevens think that they've won an all-expenses-paid trip to an island that's halfway around the world. When their house is destroyed, their food stolen, and their bacon eaten, the ...                See full summary »","6,492",                        1h 33mi,Dolby Digital,Sean McNamara                 ,"Shia LaBeouf, Christy Carlson Romano, Donna Pescow, Tom Virtue    ",,
45,Swiss Family Robinson,1960,U,126,"Adventure, Family",7.2,    A Swiss family must survive being shipwrecked on a deserted island.,"14,087",                        2h 6mi,"Walt Disney Productions      
        See more »",Ken Annakin                 ,"John Mills, Dorothy McGuire, James MacArthur, Janet Munro    ",61.0,40.36
46,Enchanted,2007,PG,107,"Animation, Comedy, Family",7.0,"    A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.","175,729",                        1h 47mi,"$340,487,747",Kevin Lima                 ,"Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey    ",75.0,127.81
47,The Princess Diaries,2001,U,111,"Comedy, Family, Romance",6.3,"    Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.","127,295",                        1h 51mi,"$165,335,153",Garry Marshall                 ,"Julie Andrews, Anne Hathaway, Hector Elizondo, Heather Matarazzo    ",52.0,108.25
48,The Lion King 2: Simba's Pride,1998 Video,U,81,"Animation, Adventure, Drama",6.5,    Simba's daughter is the key to a resolution of a bitter feud between Simba's pride and the outcast pride led by the mate of Scar.,"60,264",                        1h 21mi,"3 Channel Stereo
(5.1) (L-R)|        Dolby Digital
(Dolby Digital 5.1) (5.1) (L-R)","Darrell Rooney, Rob LaDuca                 ","Matthew Broderick, Neve Campbell, Andy Dick, Robert Guillaume    ",,
49,The Incredibles,2004,U,115,"Animation, Action, Adventure",8.0,"    A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.","651,478",                        1h 55mi,"$631,606,713",Brad Bird                 ,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee    ",90.0,261.44
50,Lilo & Stitch,2002,U,85,"Animation, Adventure, Comedy",7.2,    A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive.,"166,865",                        1h 25mi,"Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Feature Animation Florida      
        See more »","Dean DeBlois, Chris Sanders                 ","Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers    ",73.0,145.79
51,Snow White and the Seven Dwarfs,1937,A,83,"Animation, Family, Fantasy",7.6,"    Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.","180,030",                        1h 23mi,"$184,925,486","William Cottrell, David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen                 ","Adriana Caselotti, Harry Stockwell, Lucille La Verne, Roy Atwell    ",95.0,184.93
52,Cars,2006,PG,117,"Animation, Comedy, Family",7.1,"    A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.","364,518",                        1h 57mi,"$461,991,867","John Lasseter, Joe Ranft                 ","Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy    ",73.0,244.08
53,Pirates of the Caribbean: The Curse of the Black Pearl,2003,12A,143,"Action, Adventure, Fantasy",8.0,"    Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","1,009,957",                        2h 23mi,"$654,264,015",Gore Verbinski                 ,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley    ",63.0,305.41
