iter	Logloss
0	0.6866933531
1	0.6813065149
2	0.6755391505
3	0.6688784304
4	0.6632709302
5	0.6578418535
6	0.6511821676
7	0.6463324344
8	0.6402558095
9	0.6349597994
10	0.6300837302
11	0.6247389555
12	0.6193179959
13	0.6144845825
14	0.6103082847
15	0.6055991961
16	0.6012623844
17	0.5961390724
18	0.5928630739
19	0.5881364497
20	0.5834564186
21	0.5805411312
22	0.5760382221
23	0.5720074116
24	0.5683653439
25	0.5641518266
26	0.5603802012
27	0.5564446997
28	0.5534320918
29	0.5502875769
30	0.547280425
31	0.5440354822
32	0.5403654496
33	0.5367768579
34	0.5339102501
35	0.5307473536
36	0.5283948189
37	0.5258727244
38	0.5228376939
39	0.5193654436
40	0.5165555654
41	0.5137993528
42	0.5113081529
43	0.5091013393
44	0.5072391376
45	0.5045543894
46	0.5022302331
47	0.4995270218
48	0.4967755974
49	0.4941101853
50	0.4921215641
51	0.4900871304
52	0.4880573739
53	0.4866223059
54	0.4844917384
55	0.4825429102
56	0.4801969544
57	0.4785212909
58	0.4772881451
59	0.4752669601
60	0.4736386964
61	0.4715377907
62	0.4696791311
63	0.4678719527
64	0.4662567972
65	0.4648596049
66	0.4630743838
67	0.4615154477
68	0.4597365219
69	0.4583331093
70	0.4572697666
71	0.4556723663
72	0.4539499608
73	0.4526381315
74	0.4515077874
75	0.449904767
76	0.4484476881
77	0.4468905008
78	0.4456769962
79	0.4441842677
80	0.4430642916
81	0.4416417813
82	0.4405626489
83	0.4398565892
84	0.4390247685
85	0.4376369573
86	0.436083727
87	0.4351942675
88	0.4338904585
89	0.4329581013
90	0.4319182604
91	0.4305217182
92	0.4292247936
93	0.4283671425
94	0.4274845975
95	0.4266190084
96	0.4258270044
97	0.4251088753
98	0.4241717683
99	0.4234688858
100	0.4225514636
101	0.4217765892
102	0.4210745263
103	0.419984423
104	0.419110053
105	0.4181384965
106	0.417077887
107	0.4164779953
108	0.4157833346
109	0.4149481337
110	0.4145588735
111	0.4139179732
112	0.4134398451
113	0.4130860994
114	0.4127229455
115	0.4118040656
116	0.4113787057
117	0.4107172158
118	0.4100237882
119	0.409221829
120	0.4086737648
121	0.4080704802
122	0.4072334739
123	0.4063391344
124	0.4059814867
125	0.4055031404
126	0.4048022726
127	0.4040355266
128	0.403517027
129	0.4030033618
130	0.4023523464
131	0.4019938493
132	0.4012554845
133	0.4006730214
134	0.4001227415
135	0.3995218717
136	0.3990430044
137	0.3988294486
138	0.3983794962
139	0.3979135298
140	0.3972323631
141	0.3965784822
142	0.3959743807
143	0.3954844898
144	0.3950108533
145	0.3945434921
146	0.394079559
147	0.3934879184
148	0.3931266721
149	0.3926412397
150	0.3921371457
151	0.3918383489
152	0.3915658527
153	0.3911831025
154	0.3907509944
155	0.390420661
156	0.3898859295
157	0.3893811389
158	0.3890450052
159	0.3883839418
160	0.3877686601
161	0.3872600305
162	0.386843469
163	0.386495054
164	0.3859573423
165	0.3852744043
166	0.3851177577
167	0.3846271376
168	0.3843377485
169	0.3838198766
170	0.3834769985
171	0.3830977171
172	0.3828279373
173	0.3823809685
174	0.382086953
175	0.3816729701
176	0.3815840315
177	0.3812003715
178	0.3809414064
179	0.3805095416
180	0.3800949929
181	0.3797057129
182	0.3794645598
183	0.3790863866
184	0.3786485619
185	0.3782995939
186	0.3777645383
187	0.3774290892
188	0.3771184439
189	0.3767537909
190	0.3764547418
191	0.3761571121
192	0.3757557231
193	0.375448415
194	0.3752760275
195	0.3748973504
196	0.3745700224
197	0.3741858861
198	0.3738470278
199	0.3735205514
200	0.3733343157
201	0.3731101129
202	0.3729046013
203	0.3726371025
204	0.3723314002
205	0.3721145537
206	0.3718322377
207	0.3716213312
208	0.3714195268
209	0.3710522192
210	0.3706358014
211	0.3704526077
212	0.3702316879
213	0.3698216506
214	0.3696071027
