iter	Passed	Remaining
477	692	756
478	695	755
479	696	754
480	698	753
481	699	751
482	701	750
483	702	749
484	704	747
485	705	746
486	707	745
487	708	743
488	710	742
489	711	741
490	713	739
491	715	738
492	716	737
493	717	735
494	719	733
495	720	732
496	722	731
497	724	729
498	725	728
499	727	727
500	728	725
501	730	724
502	731	722
503	732	720
504	733	718
505	734	717
506	735	715
507	737	713
508	738	712
509	739	710
510	741	709
511	742	707
512	743	706
513	745	704
514	746	702
515	748	701
516	749	700
517	750	698
518	752	697
519	753	695
520	755	694
521	756	692
522	757	691
523	759	689
524	760	688
525	762	686
526	763	685
527	764	682
528	765	681
529	766	679
530	767	678
531	768	676
532	770	675
533	772	673
534	773	672
535	774	670
536	775	668
537	777	667
538	778	665
539	779	664
540	781	662
541	782	661
542	783	659
543	785	658
544	787	657
545	788	655
546	789	654
547	791	652
548	792	651
549	793	649
550	795	647
551	796	646
552	797	644
553	798	643
554	800	641
555	802	640
556	803	638
557	804	637
558	806	635
559	807	634
560	808	632
561	809	631
562	811	629
563	813	628
564	814	626
565	815	625
566	816	623
567	818	622
568	820	621
569	822	620
570	823	619
571	825	617
572	826	615
573	827	614
574	829	612
575	830	611
576	831	609
577	832	607
578	834	606
579	835	605
580	837	603
581	838	602
582	839	600
583	841	599
584	842	597
585	843	595
586	845	595
587	848	594
588	850	593
589	852	592
590	853	590
591	855	589
592	857	588
593	858	586
594	859	584
595	860	583
596	861	581
597	862	580
598	863	578
599	865	576
600	867	575
601	868	573
602	869	572
603	870	570
604	871	569
605	873	567
606	874	566
607	875	564
608	876	562
609	877	561
610	879	559
611	880	557
612	882	557
613	883	555
614	884	554
615	886	552
616	887	550
617	888	549
618	890	547
619	891	546
620	892	544
621	893	543
622	895	541
623	896	540
624	898	539
625	900	537
626	901	536
627	902	534
628	903	533
629	904	531
630	906	529
631	907	528
632	908	526
633	910	525
634	911	524
635	913	522
636	914	521
637	916	519
638	917	518
639	918	516
640	919	514
641	921	513
642	922	512
643	923	510
644	924	508
645	925	507
646	927	506
647	929	504
648	931	503
649	932	501
650	933	500
651	934	498
652	935	497
653	937	495
654	938	494
655	939	492
656	940	491
657	942	489
658	943	488
659	945	487
660	947	485
661	948	484
662	949	482
663	950	481
664	952	479
665	953	478
666	954	476
667	956	475
668	957	473
669	958	472
670	959	470
671	961	469
672	962	467
673	964	466
674	965	464
675	966	463
676	968	461
677	969	460
678	970	458
679	971	457
680	973	455
681	974	454
682	975	452
683	977	451
684	978	450
685	980	448
686	981	447
687	982	445
688	983	444
689	985	442
690	986	441
691	988	440
692	990	438
693	992	437
694	994	436
695	995	434
696	996	433
697	997	431
698	999	430
699	1000	428
700	1001	427
701	1003	425
702	1004	424
703	1005	422
704	1006	421
705	1008	419
706	1010	418
707	1011	417
708	1012	415
709	1013	414
710	1014	412
711	1016	411
712	1017	409
713	1019	408
714	1020	406
715	1021	405
716	1022	403
717	1024	402
718	1025	400
719	1027	399
720	1029	398
721	1030	396
722	1031	395
723	1033	394
724	1035	392
725	1036	391
726	1037	389
727	1039	388
728	1040	386
729	1042	385
730	1043	384
731	1045	382
732	1046	381
733	1047	379
734	1048	378
735	1049	376
736	1051	375
737	1052	373
738	1054	372
739	1055	370
740	1056	369
741	1058	368
742	1059	366
743	1061	365
744	1062	363
745	1064	362
746	1065	360
747	1066	359
748	1067	357
749	1069	356
750	1070	354
751	1072	353
752	1073	352
753	1075	350
754	1076	349
755	1077	347
756	1079	346
757	1080	344
758	1081	343
759	1083	342
760	1084	340
761	1085	339
762	1086	337
763	1087	335
764	1089	334
765	1091	333
766	1092	331
767	1094	330
768	1095	329
769	1096	327
770	1098	326
771	1099	324
772	1100	323
773	1101	321
774	1102	320
775	1104	318
776	1106	317
777	1107	316
778	1108	314
779	1110	313
780	1112	311
781	1113	310
782	1114	308
783	1115	307
784	1117	306
785	1119	304
786	1120	303
787	1122	301
788	1123	300
789	1125	299
790	1126	297
791	1127	296
792	1129	294
793	1131	293
794	1133	292
795	1134	290
796	1136	289
797	1138	288
798	1139	286
799	1141	285
800	1143	284
801	1144	282
802	1145	281
803	1146	279
804	1148	278
805	1149	276
806	1150	275
807	1151	273
808	1153	272
809	1155	270
810	1156	269
811	1157	268
812	1159	266
813	1160	265
814	1161	263
815	1162	262
816	1164	260
817	1165	259
818	1166	257
819	1167	256
820	1169	255
821	1171	253
822	1172	252
823	1173	250
824	1174	249
825	1176	247
826	1177	246
827	1178	244
828	1180	243
829	1181	241
830	1182	240
831	1183	239
832	1185	237
833	1186	236
834	1187	234
835	1189	233
836	1190	231
837	1191	230
838	1192	228
839	1194	227
840	1195	226
841	1196	224
842	1198	223
843	1199	221
844	1200	220
845	1202	218
846	1203	217
847	1204	215
848	1205	214
849	1207	213
850	1208	211
851	1209	210
852	1210	208
853	1212	207
854	1213	205
855	1214	204
856	1215	202
857	1217	201
858	1219	200
859	1220	198
860	1221	197
861	1222	195
862	1224	194
863	1225	192
864	1226	191
865	1227	189
866	1229	188
867	1230	187
868	1231	185
869	1232	184
870	1234	182
871	1235	181
872	1237	179
873	1238	178
874	1239	177
875	1240	175
876	1242	174
877	1243	172
878	1244	171
879	1245	169
880	1247	168
881	1249	167
882	1250	165
883	1252	164
884	1253	162
885	1254	161
886	1255	160
887	1257	158
888	1258	157
889	1259	155
890	1261	154
891	1262	152
892	1263	151
893	1265	150
894	1266	148
895	1268	147
896	1269	145
897	1270	144
898	1271	142
899	1273	141
900	1274	140
901	1275	138
902	1276	137
903	1278	135
904	1279	134
905	1280	132
906	1282	131
907	1283	130
908	1285	128
909	1286	127
910	1287	125
911	1289	124
912	1290	122
913	1291	121
914	1292	120
915	1294	118
916	1295	117
917	1296	115
918	1298	114
919	1299	112
920	1300	111
921	1301	110
922	1303	108
923	1304	107
924	1305	105
925	1306	104
926	1308	103
927	1309	101
928	1310	100
929	1311	98
930	1313	97
931	1314	95
932	1316	94
933	1317	93
934	1318	91
935	1320	90
936	1321	88
937	1322	87
938	1323	85
939	1325	84
940	1326	83
941	1327	81
942	1329	80
943	1330	78
944	1332	77
945	1333	76
946	1334	74
947	1335	73
948	1337	71
949	1338	70
950	1339	69
